0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
0	0	0.010
6121	0	0.010
6526	0	0.010
6891	0	0.010
7210	0	0.010
7478	-3	0.010
7692	0	0.010
7847	0	0.010
7941	0	0.010
7972	0	0.010
7941	0	0.010
7847	2	0.010
7693	2	0.010
7480	2	0.010
7212	2	0.010
6893	1	0.010
6528	1	0.010
6123	1	0.010
5685	2	0.010
5219	2	0.010
4734	2	0.010
4238	2	0.010
3737	3	0.010
3240	3	0.010
2755	3	0.010
2290	4	0.010
1851	4	0.010
1446	4	0.010
1081	4	0.010
762	4	0.010
493	4	0.010
280	4	0.010
125	4	0.010
31	4	0.010
0	3	0.010
31	3	0.010
124	3	0.010
279	3	0.010
492	3	0.010
760	3	0.010
1079	3	0.010
1444	3	0.010
1849	3	0.010
2287	3	0.010
2753	3	0.010
3237	3	0.010
3734	3	0.010
4235	3	0.010
4731	3	0.010
5216	3	0.010
5682	3	0.010
6121	3	0.010
6526	3	0.010
6891	3	0.010
7210	3	0.010
7478	3	0.010
7692	4	0.010
7847	4	0.010
7941	3	0.010
7972	3	0.010
7941	3	0.010
7847	3	0.010
7693	4	0.010
7480	4	0.010
7212	6	0.010
6893	7	0.010
6528	7	0.010
6123	7	0.010
5685	8	0.010
5219	7	0.010
4734	7	0.010
4238	7	0.010
3737	7	0.010
3240	8	0.010
2755	8	0.010
2290	8	0.010
1851	8	0.010
1446	8	0.010
1081	8	0.010
762	8	0.010
493	8	0.010
280	7	0.010
125	7	0.010
31	7	0.010
0	7	0.010
31	7	0.010
124	8	0.010
279	8	0.010
492	7	0.010
760	7	0.010
1079	7	0.010
1444	7	0.010
1849	7	0.010
2287	7	0.010
2753	7	0.010
3237	7	0.010
3734	7	0.010
4235	7	0.010
4731	7	0.010
5216	7	0.010
5682	7	0.010
6121	7	0.010
6526	7	0.010
6891	7	0.010
7210	7	0.010
7478	8	0.010
7692	8	0.010
7847	8	0.010
7941	8	0.010
7972	8	0.010
7941	8	0.010
7847	8	0.010
7693	9	0.010
7480	9	0.010
7212	9	0.010
6893	9	0.010
6528	10	0.010
6123	10	0.010
5685	10	0.010
5219	10	0.010
4734	10	0.010
4238	10	0.010
3737	10	0.010
3240	11	0.010
2755	11	0.010
2290	11	0.010
1851	11	0.010
1446	10	0.010
1081	10	0.010
762	10	0.010
493	10	0.010
280	10	0.010
125	10	0.010
31	10	0.010
0	9	0.010
31	9	0.010
124	9	0.010
279	9	0.010
492	9	0.010
760	9	0.010
1079	9	0.010
1444	9	0.010
1849	10	0.010
2287	10	0.010
2753	10	0.010
3237	11	0.010
3734	10	0.010
4235	10	0.010
4731	10	0.010
5216	10	0.010
5682	10	0.010
6121	11	0.010
6526	10	0.010
6891	10	0.010
7210	11	0.010
7478	11	0.010
7692	11	0.010
7847	12	0.010
7941	12	0.010
7972	13	0.010
7941	13	0.010
7847	13	0.010
7693	13	0.010
7480	13	0.010
7212	13	0.010
6893	13	0.010
6528	13	0.010
6123	13	0.010
5685	12	0.010
5219	12	0.010
4734	12	0.010
4238	12	0.010
3737	12	0.010
3240	12	0.010
2755	12	0.010
2290	12	0.010
1851	12	0.010
1446	12	0.010
1081	11	0.010
762	11	0.010
493	11	0.010
280	11	0.010
125	11	0.010
31	11	0.010
0	11	0.010
31	12	0.010
124	12	0.010
279	12	0.010
492	12	0.010
760	12	0.010
1079	13	0.010
1444	13	0.010
1849	13	0.010
2287	13	0.010
2753	13	0.010
3237	13	0.010
3734	13	0.010
4235	14	0.010
4731	14	0.010
5216	14	0.010
5682	14	0.010
6121	14	0.010
6526	14	0.010
6891	14	0.010
7210	15	0.010
7478	14	0.010
7692	14	0.010
7847	14	0.010
7941	14	0.010
7972	14	0.010
7941	14	0.010
7847	14	0.010
7693	14	0.010
7480	13	0.010
7212	13	0.010
6893	14	0.010
6528	13	0.010
6123	13	0.010
5685	13	0.010
5219	13	0.010
4734	13	0.010
4238	13	0.010
3737	14	0.010
3240	13	0.010
2755	13	0.010
2290	13	0.010
1851	13	0.010
1446	14	0.010
1081	14	0.010
762	14	0.010
493	14	0.010
280	15	0.010
125	15	0.010
31	14	0.010
0	14	0.010
31	14	0.010
124	14	0.010
279	14	0.010
492	14	0.010
760	15	0.010
1079	15	0.010
1444	14	0.010
1849	15	0.010
2287	15	0.010
2753	15	0.010
3237	15	0.010
3734	16	0.010
4235	15	0.010
4731	15	0.010
5216	16	0.010
5682	16	0.010
6121	16	0.010
6526	16	0.010
6891	16	0.010
7210	16	0.010
7478	17	0.010
7692	17	0.010
7847	16	0.010
7941	16	0.010
7972	16	0.010
7941	16	0.010
7847	16	0.010
7693	16	0.010
7480	16	0.010
7212	16	0.010
6893	16	0.010
6528	16	0.010
