	0	0.000
181	0	0.000
181	0	0.000
174	0	0.000
181	0	0.000
181	0	0.000
192	0	0.000
199	0	0.000
199	0	0.000
206	0	0.000
173	0	0.000
181	0	0.000
174	0	0.000
210	0	0.000
218	0	0.000
200	0	0.000
193	0	0.000
168	0	0.000
181	0	0.000
174	0	0.000
181	0	0.000
187	0	0.000
193	0	0.000
224	0	0.000
186	0	0.000
181	0	0.000
174	0	0.000
181	0	0.000
205	0	0.000
187	0	0.000
193	0	0.000
181	0	0.000
181	0	0.000
181	0	0.000
173	0	0.000
155	0	0.000
174	0	0.000
199	0	0.000
199	0	0.000
193	0	0.000
181	0	0.000
200	0	0.000
199	0	0.000
193	0	0.000
199	0	0.000
181	0	0.000
181	0	0.000
181	0	0.000
174	0	0.000
173	0	0.000
181	0	0.000
181	0	0.000
181	0	0.000
187	0	0.000
192	0	0.000
192	0	0.000
192	0	0.000
173	0	0.000
199	0	0.000
173	0	0.000
192	0	0.000
217	0	0.000
205	0	0.000
181	0	0.000
173	0	0.000
181	0	0.000
174	0	0.000
181	0	0.000
205	0	0.000
181	0	0.000
200	0	0.000
173	0	0.000
181	0	0.000
193	0	0.000
192	0	0.000
200	0	0.000
199	0	0.000
200	0	0.000
199	0	0.000
193	0	0.000
192	0	0.000
181	0	0.000
193	0	0.000
174	0	0.000
217	0	0.000
200	0	0.000
199	0	0.000
181	0	0.000
199	0	0.000
173	0	0.000
192	0	0.000
205	0	0.000
173	0	0.000
173	0	0.000
199	0	0.000
173	0	0.000
200	0	0.000
167	0	0.000
199	0	0.000
205	0	0.000
199	0	0.000
181	0	0.000
173	0	0.000
187	0	0.000
199	0	0.000
192	0	0.000
173	0	0.000
200	0	0.000
181	0	0.000
173	0	0.000
205	0	0.000
181	0	0.000
173	0	0.000
181	0	0.000
174	0	0.000
173	0	0.000
192	0	0.000
181	0	0.000
206	0	0.000
186	0	0.000
173	0	0.000
192	0	0.000
192	0	0.000
206	0	0.000
199	0	0.000
193	0	0.000
173	0	0.000
186	0	0.000
174	0	0.000
174	0	0.000
192	0	0.000
193	0	0.000
192	0	0.000
199	0	0.000
181	0	0.000
199	0	0.000
199	0	0.000
199	0	0.000
193	0	0.000
192	0	0.000
212	0	0.000
173	0	0.000
167	0	0.000
181	0	0.000
224	0	0.000
210	0	0.000
173	0	0.000
181	0	0.000
200	0	0.000
199	0	0.000
174	0	0.000
181	0	0.000
199	0	0.000
181	0	0.000
181	0	0.000
181	0	0.000
199	0	0.000
181	0	0.000
192	0	0.000
173	0	0.000
200	0	0.000
192	0	0.000
200	0	0.000
174	0	0.000
181	0	0.000
200	0	0.000
199	0	0.000
174	0	0.000
199	0	0.000
167	0	0.000
192	0	0.000
199	0	0.000
181	0	0.000
200	0	0.000
181	0	0.000
193	0	0.000
199	0	0.000
210	0	0.000
173	0	0.000
168	0	0.000
173	0	0.000
193	0	0.000
174	0	0.000
181	0	0.000
181	0	0.000
199	0	0.000
199	0	0.000
199	0	0.000
168	0	0.000
181	0	0.000
181	0	0.000
173	0	0.000
181	0	0.000
173	0	0.000
192	0	0.000
199	0	0.000
199	0	0.000
200	0	0.000
199	0	0.000
181	0	0.000
181	0	0.000
187	0	0.000
1931	0	0.000
2721	0	0.000
2927	-5	0.000
3029	-3	0.000
4829	-3	0.000
5028	-5	0.000
4980	0	0.000
5710	0	0.000
4369	0	0.000
3639	0	0.000
3482	4	0.000
3451	2	0.000
2100	2	0.000
2125	5	0.000
2343	0	0.000
1280	0	0.000
2651	0	0.000
3333	0	0.000
3514	0	0.000
3612	0	0.000
3607	0	0.000
3654	2	0.000
3669	2	0.000
3016	2	0.000
2730	4	0.000
2675	4	0.000
1931	4	0.000
1631	4	0.000
1584	4	0.000
1529	3	0.000
1545	2	0.000
1888	1	0.000
2415	0	0.000
2959	0	0.000
3541	0	0.000
3808	0	0.000
3899	0	0.000
3944	0	0.000
3978	3	0.000
4059	3	0.000
3025	4	0.000
2519	6	0.000
2077	6	0.000
1175	6	0.000
825	6	0.000
733	6	0.000
688	5	0.000
661	4	0.000
992	3	0.000
1482	2	0.000
1990	2	0.000
2565	3	0.000
2799	2	0.000
2551	2	0.000
2769	4	0.000
2908	4	0.000
2302	4	0.000
1975	5	0.000
1938	5	0.000
1516	5	0.000
1376	4	0.000
1329	5	0.000
1647	5	0.000
1474	3	0.000
1317	3	0.000
2018	4	0.000
2313	4	0.000
2072	4	0.000
1948	5	0.000
1909	5	0.000
1559	5	0.000
1407	5	0.000
1368	4	0.000
1350	5	0.000
1706	5	0.000
1476	4	0.000
1345	4	0.000
1697	5	0.000
1856	5	0.000
1529	5	0.000
1414	5	0.000
1348	5	0.000
1363	6	0.000
1361	6	0.000
1022	5	0.000
879	5	0.000
1181	5	0.000
1309	5	0.000
1356	4	0.000
1355	4	0.000
1674	4	0.000
1851	4	0.000
1913	5	0.000
1915	4	0.000
1563	5	0.000
1739	5	0.000
1517	6	0.000
1407	5	0.000
1041	6	0.000
1234	6	0.000
1025	5	0.000
881	5	0.000
1188	5	0.000
1302	5	0.000
1351	4	0.000
1371	5	0.000
1729	4	0.000
1490	4	0.000
1739	5	0.000
1857	5	0.000
1533	5	0.000
1422	5	0.000
1365	5	0.000
1402	5	0.000
1388	5	0.000
1380	5	0.000
1350	5	0.000
1386	5	0.000
1373	5	0.000
1378	5	0.000
1403	5	0.000
1374	6	0.000
1374	6	0.000
1047	5	0.000
887	5	0.000
1187	5	0.000
1340	5	0.000
1366	5	0.000
1376	6	0.000
1393	5	0.000
1031	5	0.000
1233	5	0.000
1315	6	0.000
1362	5	0.000
1019	5	0.000
1214	5	0.000
1323	6	0.000
1296	6	0.000
1018	6	0.000
882	5	0.000
844	5	0.000
1150	5	0.000
1280	6	0.000
1321	6	0.000
1042	6	0.000
859	6	0.000
829	5	0.000
767	5	0.000
1124	5	0.000
1249	7	0.000
1303	6	0.000
632	5	0.000
694	5	0.000
1123	5	0.000
1245	6	0.000
1322	6	0.000
990	6	0.000
817	6	0.000
762	5	0.000
780	5	0.000
1065	5	0.000
1211	6	0.000
1260	6	0.000
950	6	0.000
800	6	0.000
766	5	0.000
751	5	0.000
1087	5	0.000
1228	6	0.000
1261	6	0.000
938	5	0.000
808	5	0.000
1079	5	0.000
1221	6	0.000
1235	7	0.000
933	7	0.000
454	5	0.000
278	5	0.000
883	5	0.000
1155	7	0.000
1220	7	0.000
565	7	0.000
293	4	0.000
230	4	0.000
1158	5	0.000
1583	7	0.000
1388	8	0.000
601	6	0.000
-59	4	0.000
380	3	0.000
1250	5	0.000
1958	7	0.000
1505	9	0.000
597	6	0.000
-383	3	0.000
229	2	0.000
1516	4	0.000
2388	8	0.000
2069	10	0.000
480	8	0.000
-771	0	0.000
-584	0	0.000
787	0	0.000
3476	11	0.000
3882	14	0.000
182	11	0.000
-2416	-2	0.000
-2258	-6	0.000
2266	-2	0.000
5705	15	0.000
5587	22	0.000
-512	17	0.000
-5634	-7	0.000
-5808	-16	0.000
2594	-11	0.000
9247	22	0.000
10390	34	0.000
-701	29	0.000
-9935	-13	0.000
-11954	-31	0.000
1778	-29	0.000
1778	-29	0.000
16650	51	0.000
17981	46	0.000
-3931	18	-10255	-61	0.000
7438	-23	0.000
15504	59	0.000
17183	59	0.000
0.000
0.000
-4441	32	-14168	-3-14123	-32	0.000
-14751	-60	0.000
